Depths,CAL,GR,SP,LLD,LLS,AC,DEN,Liths
1505.0,8.906,100.242,-9.944,2.965,2.872,103.183,2.462,Фрбв
1505.125,8.907,97.829,-10.1,3.017,2.929,102.597,2.466,Фрбв
1505.25,8.914,101.232,-10.266,3.139,3.056,102.066,2.469,Фрбв
1505.375,8.914,100.698,-10.266,3.21,3.112,101.857,2.46,Фрбв
1505.5,8.914,100.466,-10.316,3.175,3.08,101.722,2.445,Фрбв
1505.625,8.914,98.196,-10.41,3.185,3.081,101.772,2.432,Фрбв
1505.75,8.914,95.065,-10.511,3.203,3.08,102.304,2.395,Фрбв
1505.875,8.914,95.297,-10.493,3.159,3.028,102.99,2.363,Фрбв
1506.0,8.914,93.209,-10.536,2.993,2.89,104.195,2.328,Фрбв
1506.125,8.914,91.979,-10.679,2.958,2.839,104.771,2.353,Фрбв
1506.25,8.914,91.458,-10.584,2.904,2.79,105.734,2.42,Фрбв
1506.375,8.911,93.048,-10.423,2.871,2.764,106.298,2.449,Фрбв
1506.5,8.906,96.791,-10.251,2.862,2.757,105.833,2.448,Фрбв
1506.625,8.906,97.836,-10.238,2.91,2.804,105.177,2.425,Фрбв
1506.75,8.914,95.811,-10.149,3.056,2.937,104.023,2.423,Фрбв
1506.875,8.914,93.679,-10.052,3.123,2.993,103.414,2.423,Фрбв
1507.0,8.914,93.797,-9.996,3.183,3.051,103.215,2.422,Фрбв
1507.125,8.914,95.185,-9.932,3.187,3.058,103.168,2.424,Фрбв
1507.25,8.94,96.347,-9.762,3.127,3.013,103.501,2.435,Фрбв
1507.375,9.024,96.238,-9.891,3.051,2.962,103.769,2.437,Фрбв
1507.5,8.908,97.087,-10.088,3.007,2.898,103.976,2.432,Фрбв
1507.625,8.903,97.447,-10.089,2.995,2.884,104.202,2.423,Фрбв
1507.75,8.911,100.241,-9.983,2.958,2.848,104.728,2.426,Фрбв
1507.875,8.914,102.8,-9.933,2.922,2.815,105.391,2.433,Фрбв
1508.0,8.914,102.6,-10.167,2.873,2.775,105.97,2.439,Фрбв
1508.125,8.914,100.528,-10.248,2.878,2.776,106.038,2.446,Фрбв
1508.25,8.914,95.916,-10.455,2.908,2.804,105.527,2.45,Фрбв
