Depths,CAL,GR,SP,LLD,LLS,AC,DEN,Liths
1230.0,10.452,85.912,-1.619,4.221,3.66,102.41,2.186,Фрбв
1230.125,10.432,85.297,-1.414,4.261,3.695,102.513,2.179,Фрбв
1230.25,10.432,84.682,-1.209,4.261,3.66,102.72,2.173,Фрбв
1230.375,10.329,83.453,-0.799,4.221,3.523,102.927,2.183,Фрбв
1230.5,10.2,82.495,-0.763,4.221,3.523,103.133,2.193,Фрбв
1230.625,10.11,84.307,-0.647,4.181,3.557,103.34,2.205,Фрбв
1230.75,10.058,85.816,-0.793,4.141,3.557,103.133,2.22,Фрбв
1230.875,10.08,86.917,-0.757,4.102,3.523,102.927,2.239,Фрбв
1231.0,10.195,86.033,-0.606,4.102,3.49,103.03,2.26,Фрбв
1231.125,10.326,82.433,-0.615,4.025,3.49,103.237,2.287,Фрбв
1231.25,10.483,79.189,-0.402,3.949,3.424,103.547,2.278,Фрбв
1231.375,10.569,76.98,-0.554,3.912,3.359,104.168,2.255,Фрбв
1231.5,10.567,76.706,-0.804,3.838,3.296,104.891,2.223,Фрбв
1231.625,10.381,79.819,-1.01,3.766,3.234,105.512,2.192,Фрбв
1231.75,10.204,84.047,-0.999,3.766,3.265,105.822,2.174,Фрбв
1231.875,9.946,87.475,-1.003,3.912,3.391,105.408,2.178,Фрбв
1232.0,9.854,87.255,-1.002,4.006,3.359,104.736,2.198,Фрбв
1232.125,9.946,83.97,-1.0,4.141,3.327,104.168,2.227,Фрбв
1232.25,10.041,80.404,-1.057,4.221,3.625,103.754,2.255,Фрбв
1232.375,10.14,78.777,-1.363,4.221,3.73,103.65,2.283,Фрбв
1232.5,10.183,81.449,-1.644,4.221,3.66,104.064,2.309,Фрбв
1232.625,10.081,84.051,-1.627,4.181,3.557,104.374,2.321,Фрбв
1232.75,10.027,87.019,-1.516,4.102,3.523,104.788,2.31,Фрбв
1232.875,10.081,86.915,-1.383,4.07,3.49,104.995,2.297,Фрбв
1233.0,10.106,84.588,-1.247,4.121,3.456,104.831,2.283,Фрбв
1233.125,10.139,81.921,-1.112,4.172,3.456,104.653,2.28,Фрбв
1233.25,10.159,79.623,-0.976,4.221,3.49,104.475,2.276,Фрбв
1233.375,10.142,78.287,-0.836,4.261,3.557,104.168,2.266,Фрбв
1233.5,10.123,80.267,-0.814,4.261,3.523,104.168,2.25,Фрбв
1233.625,10.077,84.373,-0.841,4.221,3.49,104.788,2.238,Фрбв
1233.75,10.06,88.477,-0.87,4.141,3.591,105.098,2.235,Фрбв
1233.875,10.111,89.631,-0.898,4.102,3.557,105.305,2.244,Фрбв
1234.0,10.173,89.583,-0.926,4.063,3.49,105.305,2.255,Фрбв
1234.125,10.226,88.955,-0.954,4.063,3.464,105.512,2.267,Фрбв
1234.25,10.082,89.04,-0.983,4.063,3.491,105.719,2.285,Фрбв
1234.375,9.919,89.305,-1.025,4.102,3.518,105.512,2.304,Фрбв
1234.5,9.766,88.104,-1.119,4.221,3.591,105.098,2.323,Фрбв
1234.625,9.671,85.651,-1.211,4.302,3.695,104.788,2.337,Фрбв
1234.75,9.683,83.094,-1.305,4.343,3.73,104.478,2.332,Фрбв
1234.875,9.702,82.277,-1.397,4.343,3.73,104.478,2.3,Фрбв
1235.0,9.732,83.059,-1.371,4.261,3.66,105.098,2.261,Фрбв
1235.125,9.745,84.431,-0.994,4.181,3.591,105.822,2.227,Фрбв
1235.25,9.733,84.933,-0.776,4.146,3.557,106.753,2.209,Фрбв
1235.375,9.686,84.86,-0.794,4.093,3.456,107.166,2.195,Фрбв
1235.5,9.642,84.782,-0.682,4.041,3.391,107.166,2.183,Фрбв
1235.625,9.715,84.689,-0.558,3.988,3.327,107.477,2.172,Фрбв
1235.75,9.91,85.067,-0.436,3.936,3.296,107.684,2.163,Фрбв
1235.875,10.096,85.578,-0.313,3.892,3.265,107.89,2.171,Фрбв
1236.0,10.244,86.506,-0.188,3.857,3.265,108.046,2.176,Фрбв
1236.125,10.339,88.075,-0.247,3.821,3.234,108.097,2.18,Фрбв
1236.25,10.432,90.404,-0.331,3.802,3.234,108.511,2.182,Фрбв
1236.375,10.586,89.31,-0.416,3.802,3.234,108.614,2.19,Фрбв
1236.5,10.736,86.449,-0.501,3.766,3.234,108.511,2.204,Фрбв
1236.625,10.859,83.681,-0.586,3.802,3.234,108.097,2.235,Фрбв
1236.75,10.927,82.363,-0.671,3.875,3.234,107.58,2.257,Фрбв
1236.875,10.98,81.945,-0.755,3.875,3.234,107.612,2.251,Фрбв
1237.0,10.927,81.902,-0.835,3.784,3.164,107.942,2.218,Фрбв
1237.125,10.929,80.871,-0.911,3.66,3.067,108.304,2.183,Фрбв
1237.25,10.966,79.466,-0.986,3.523,2.997,108.821,2.147,Фрбв
1237.375,11.056,79.185,-1.061,3.456,2.94,109.338,2.118,Фрбв
1237.5,11.151,80.757,-1.141,3.479,2.968,109.442,2.102,Фрбв
1237.625,10.977,82.262,-1.218,3.591,3.049,108.821,2.095,Фрбв
1237.75,10.749,82.809,-0.825,3.73,3.143,108.201,2.102,Фрбв
1237.875,10.484,83.122,-0.636,3.802,3.234,107.58,2.125,Фрбв
1238.0,10.219,84.253,-0.367,3.875,3.312,107.373,2.15,Фрбв
1238.125,9.949,86.27,-0.384,3.949,3.383,107.166,2.183,Фрбв
1238.25,9.668,88.243,-0.616,4.063,3.418,106.856,2.216,Фрбв
1238.375,9.378,87.216,-0.598,4.125,3.49,106.443,2.247,Фрбв
1238.5,9.092,85.478,-0.591,4.222,3.591,106.029,2.277,Фрбв
1238.625,8.973,83.349,-0.59,4.32,3.66,105.408,2.307,Фрбв
1238.75,8.923,82.522,-0.635,4.417,3.802,104.581,2.335,Фрбв
1238.875,8.854,84.382,-0.795,4.515,3.949,103.857,2.358,Фрбв
1239.0,8.784,86.195,-0.795,4.612,4.063,103.185,2.379,Фрбв
1239.125,8.738,87.551,-1.004,4.642,4.02,102.513,2.397,Фрбв
1239.25,8.717,85.511,-1.215,4.642,3.949,101.892,2.41,Фрбв
1239.375,8.695,82.39,-1.311,4.642,3.98,101.686,2.413,Фрбв
1239.5,8.705,80.779,-1.428,4.687,4.018,101.789,2.413,Фрбв
1239.625,8.728,81.841,-1.543,4.731,4.055,101.789,2.41,Фрбв
1239.75,8.75,83.126,-1.661,4.822,4.138,101.479,2.405,Фрбв
1239.875,8.773,82.825,-1.809,4.868,4.261,101.065,2.391,Фрбв
1240.0,8.816,81.892,-1.955,4.822,4.181,101.387,2.345,Фрбв
1240.125,8.925,80.672,-2.027,4.642,4.063,102.203,2.28,Фрбв
1240.25,9.18,80.693,-1.988,4.427,3.905,103.65,2.209,Фрбв
1240.375,9.411,82.533,-1.629,4.302,3.766,105.305,2.17,Фрбв
1240.5,9.357,84.348,-1.185,4.141,3.591,107.166,2.143,Фрбв
1240.625,9.214,85.661,-1.208,4.081,3.523,108.407,2.16,Фрбв
1240.75,9.085,86.539,-1.147,4.126,3.49,108.511,2.197,Фрбв
1240.875,8.973,85.901,-0.927,4.17,3.564,108.201,2.207,Фрбв
1241.0,8.903,85.044,-0.718,4.188,3.639,107.787,2.205,Фрбв
1241.125,8.943,84.862,-0.51,4.198,3.66,107.166,2.202,Фрбв
1241.25,9.053,86.285,-0.416,4.208,3.66,107.166,2.216,Фрбв
1241.375,9.163,88.652,-0.475,4.218,3.625,107.373,2.232,Фрбв
1241.5,9.269,89.637,-0.532,4.261,3.591,107.58,2.244,Фрбв
1241.625,9.27,89.358,-0.591,4.261,3.591,107.58,2.249,Фрбв
1241.75,9.238,88.694,-0.649,4.302,3.66,107.373,2.255,Фрбв
1241.875,9.243,87.68,-0.708,4.302,3.674,107.063,2.271,Фрбв
1242.0,9.379,86.29,-0.766,4.302,3.691,106.546,2.287,Фрбв
1242.125,9.484,84.499,-0.819,4.323,3.7,106.236,2.303,Фрбв
1242.25,9.565,83.047,-0.864,4.385,3.706,106.029,2.312,Фрбв
1242.375,9.55,82.577,-0.91,4.385,3.713,106.132,2.302,Фрбв
1242.5,9.319,83.691,-0.955,4.385,3.72,106.443,2.285,Фрбв
1242.625,9.073,85.798,-1.001,4.385,3.726,106.753,2.27,Фрбв
1242.75,9.009,87.133,-1.006,4.385,3.743,106.649,2.261,Фрбв
1242.875,9.048,88.754,-1.028,4.385,3.792,106.236,2.27,Фрбв
1243.0,9.163,89.984,-0.819,4.512,3.84,105.202,2.308,Фрбв
1243.125,8.994,90.894,-0.598,4.687,3.889,104.064,2.347,Фрбв
1243.25,8.833,92.057,-0.566,4.663,3.938,103.237,2.397,Фрбв
1243.375,8.755,92.348,-0.523,4.639,3.949,102.513,2.41,Фрбв
1243.5,8.726,91.531,-0.483,4.615,3.949,102.41,2.413,Фрбв
1243.625,8.709,89.795,-0.443,4.607,3.912,102.513,2.41,Фрбв
1243.75,8.694,87.709,-0.392,4.634,3.912,102.41,2.412,Фрбв
1243.875,8.717,83.06,-0.228,4.731,3.987,101.892,2.418,Фрбв
1244.0,8.721,79.993,-0.184,4.814,4.07,101.26,2.424,Фрбв
1244.125,8.737,77.644,-0.347,4.953,4.181,100.445,2.428,Фрбв
1244.25,8.738,76.434,-0.579,5.093,4.302,99.824,2.429,Фрбв
1244.375,8.738,78.123,-0.784,5.204,4.469,99.514,2.429,Фрбв
1244.5,8.737,80.642,-0.983,5.354,4.512,98.997,2.423,Фрбв
1244.625,8.735,82.542,-0.883,5.304,4.433,98.79,2.408,Фрбв
1244.75,8.762,81.454,-0.8,5.204,4.265,98.79,2.387,Фрбв
1244.875,8.921,80.12,-0.799,4.915,4.04,99.514,2.334,Фрбв
1245.0,9.186,78.99,-0.799,4.645,3.82,101.065,2.28,Фрбв
1245.125,9.538,79.807,-0.799,4.332,3.625,102.927,2.216,Фрбв
